date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019-01-01 00:00:00,0,0,0,0.6,1037.9,83.1,0.0
2019-01-01 01:00:00,0,0,0,0.3,1037.5,85.4,0.0
2019-01-01 02:00:00,0,0,0,0.3,1037.5,86.0,0.0
2019-01-01 03:00:00,0,0,0,0.4,1037.0,85.7,0.0
2019-01-01 04:00:00,0,0,0,0.5,1036.5,82.0,0.0
2019-01-01 05:00:00,0,0,0,0.5,1036.5,81.2,0.0
2019-01-01 06:00:00,0,0,0,0.7,1036.5,79.3,0.0
2019-01-01 07:00:00,0,0,0,0.7,1037.0,79.4,0.0
2019-01-01 08:00:00,13,0,10,0.7,1037.4,80.9,0.94
2019-01-01 09:00:00,66,0,49,1.1,1037.7,80.1,6.79
2019-01-01 10:00:00,140,0,103,1.7,1037.1,75.8,14.47
2019-01-01 11:00:00,179,0,132,2.1,1036.5,71.9,19.09
2019-01-01 12:00:00,221,0,156,2.6,1035.1,72.0,24.31
2019-01-01 13:00:00,248,0,172,2.9,1034.1,70.6,29.93
2019-01-01 14:00:00,597,0,463,4.5,1032.6,64.8,55.71
2019-01-01 15:00:00,435,0,320,4.9,1032.4,63.3,48.57
2019-01-01 16:00:00,100,0,69,4.2,1032.4,64.3,10.64
2019-01-01 17:00:00,17,0,12,4.0,1032.8,69.0,1.39
2019-01-01 18:00:00,0,0,0,3.2,1033.9,74.8,0.0
2019-01-01 19:00:00,0,0,0,2.9,1034.2,77.0,0.0
2019-01-01 20:00:00,0,0,0,2.7,1034.2,78.1,0.0
2019-01-01 21:00:00,0,0,0,2.5,1034.3,80.3,0.0
2019-01-01 22:00:00,0,0,0,2.2,1034.7,82.0,0.0
2019-01-01 23:00:00,0,0,0,2.1,1035.1,84.0,0.0
2019-01-02 00:00:00,0,0,0,1.8,1035.3,85.2,0.0
2019-01-02 01:00:00,0,0,0,1.7,1035.4,86.3,0.0
2019-01-02 02:00:00,0,0,0,1.6,1035.4,85.5,0.0
2019-01-02 03:00:00,0,0,0,1.5,1034.8,85.2,0.0
2019-01-02 04:00:00,0,0,0,1.5,1033.7,85.2,0.0
2019-01-02 05:00:00,0,0,0,1.4,1033.0,84.5,0.0
2019-01-02 06:00:00,0,0,0,1.5,1033.0,85.3,0.0
2019-01-02 07:00:00,0,0,0,1.5,1033.4,84.4,0.0
2019-01-02 08:00:00,12,0,9,1.5,1033.6,83.9,0.84
2019-01-02 09:00:00,55,0,39,2.1,1034.2,84.1,6.13
2019-01-02 10:00:00,110,0,81,2.9,1034.4,85.5,12.35
2019-01-02 11:00:00,158,0,118,3.3,1033.2,81.2,16.59
2019-01-02 12:00:00,186,0,137,3.8,1031.9,79.9,19.76
2019-01-02 13:00:00,197,0,144,4.5,1030.5,74.0,20.13
2019-01-02 14:00:00,154,0,111,4.7,1030.0,73.2,15.83
2019-01-02 15:00:00,92,0,67,5.1,1029.8,71.8,10.27
2019-01-02 16:00:00,46,0,35,5.0,1030.2,72.3,4.71
2019-01-02 17:00:00,8,0,7,4.7,1029.9,72.8,0.52
2019-01-02 18:00:00,0,0,0,4.6,1030.5,75.1,0.0
2019-01-02 19:00:00,0,0,0,4.5,1031.0,78.1,0.0
2019-01-02 20:00:00,0,0,0,3.9,1031.2,82.0,0.0
2019-01-02 21:00:00,0,0,0,4.1,1031.4,82.3,0.0
2019-01-02 22:00:00,0,0,0,4.1,1031.4,82.9,0.0
2019-01-02 23:00:00,0,0,0,3.6,1031.3,84.5,0.0
2019-01-03 00:00:00,0,0,0,3.5,1031.4,85.3,0.0
2019-01-03 01:00:00,0,0,0,3.4,1031.5,85.2,0.0
2019-01-03 02:00:00,0,0,0,3.2,1031.3,86.4,0.0
2019-01-03 03:00:00,0,0,0,3.2,1030.7,86.1,0.0
2019-01-03 04:00:00,0,0,0,3.1,1030.3,85.7,0.0
2019-01-03 05:00:00,0,0,0,2.9,1030.1,85.8,0.0
2019-01-03 06:00:00,0,0,0,3.1,1030.0,85.8,0.0
2019-01-03 07:00:00,0,0,0,2.8,1030.1,85.8,0.0
2019-01-03 08:00:00,23,0,17,3.1,1030.7,85.6,1.75
2019-01-03 09:00:00,88,0,64,3.7,1031.0,86.0,8.8
2019-01-03 10:00:00,183,0,131,4.6,1031.0,82.2,19.17
2019-01-03 11:00:00,297,0,205,5.7,1030.0,77.3,31.32
2019-01-03 12:00:00,556,0,389,7.0,1028.4,71.5,58.65
2019-01-03 13:00:00,568,0,403,7.7,1026.8,67.0,69.84
2019-01-03 14:00:00,550,0,403,8.6,1025.5,63.9,55.35
2019-01-03 15:00:00,426,0,310,9.8,1024.9,60.5,45.03
2019-01-03 16:00:00,68,0,50,9.2,1025.6,63.7,6.57
2019-01-03 17:00:00,7,0,5,8.6,1025.7,69.3,0.4
2019-01-03 18:00:00,0,0,0,7.6,1025.9,75.6,0.0
2019-01-03 19:00:00,0,0,0,7.3,1026.1,78.3,0.0
2019-01-03 20:00:00,0,0,0,7.2,1025.3,79.9,0.0
2019-01-03 21:00:00,0,0,0,6.3,1026.0,85.1,0.0
2019-01-03 22:00:00,0,0,0,5.8,1026.6,84.5,0.0
2019-01-03 23:00:00,0,0,0,5.5,1026.4,82.8,0.0
2019-01-04 00:00:00,0,0,0,5.6,1025.8,80.8,0.0
2019-01-04 01:00:00,0,0,0,5.4,1026.2,79.6,0.0
2019-01-04 02:00:00,0,0,0,5.2,1027.3,79.1,0.0
2019-01-04 03:00:00,0,0,0,4.5,1026.4,79.3,0.0
2019-01-04 04:00:00,0,0,0,4.3,1025.7,78.9,0.0
2019-01-04 05:00:00,0,0,0,4.3,1025.5,78.3,0.0
2019-01-04 06:00:00,0,0,0,4.5,1025.6,78.5,0.0
2019-01-04 07:00:00,0,0,0,4.4,1026.0,80.1,0.0
2019-01-04 08:00:00,23,0,17,4.6,1026.2,81.4,1.81
2019-01-04 09:00:00,41,0,30,5.0,1027.5,83.3,3.96
2019-01-04 10:00:00,41,0,31,5.6,1028.1,85.1,3.63
2019-01-04 11:00:00,122,0,90,6.0,1027.6,85.5,13.36
2019-01-04 12:00:00,93,0,69,6.5,1026.5,85.6,8.79
2019-01-04 13:00:00,104,0,77,6.9,1024.8,83.3,11.89
2019-01-04 14:00:00,73,0,54,6.5,1025.0,83.0,7.03
2019-01-04 15:00:00,29,0,21,6.3,1024.7,84.5,3.05
2019-01-04 16:00:00,11,0,8,5.5,1024.8,86.2,0.92
2019-01-04 17:00:00,2,0,2,5.3,1025.3,85.9,0.0
2019-01-04 18:00:00,0,0,0,5.1,1026.0,86.1,0.0
2019-01-04 19:00:00,0,0,0,5.1,1026.6,86.0,0.0
2019-01-04 20:00:00,0,0,0,4.7,1026.9,86.0,0.0
2019-01-04 21:00:00,0,0,0,4.3,1027.1,86.1,0.0
2019-01-04 22:00:00,0,0,0,4.3,1027.2,84.9,0.0
2019-01-04 23:00:00,0,0,0,4.2,1027.0,85.3,0.0
2019-01-05 00:00:00,0,0,0,4.1,1026.7,85.4,0.0
2019-01-05 01:00:00,0,0,0,4.1,1026.6,85.3,0.0
2019-01-05 02:00:00,0,0,0,4.1,1027.1,85.4,0.0
2019-01-05 03:00:00,0,0,0,3.7,1026.5,85.4,0.0
2019-01-05 04:00:00,0,0,0,3.6,1025.7,85.7,0.0
2019-01-05 05:00:00,0,0,0,3.7,1025.7,85.3,0.0
2019-01-05 06:00:00,0,0,0,3.6,1025.7,85.4,0.0
2019-01-05 07:00:00,0,0,0,3.5,1026.1,85.2,0.0
2019-01-05 08:00:00,42,0,31,3.6,1026.7,85.6,3.65
2019-01-05 09:00:00,92,0,68,4.0,1026.5,84.1,9.16
2019-01-05 10:00:00,88,0,65,4.6,1027.1,82.8,7.92
2019-01-05 11:00:00,77,0,57,4.8,1026.8,80.9,7.77
2019-01-05 12:00:00,66,0,49,4.9,1026.2,80.7,6.73
2019-01-05 13:00:00,58,0,43,4.6,1026.0,82.1,6.21
2019-01-05 14:00:00,71,0,52,4.3,1025.6,83.1,7.28
2019-01-05 15:00:00,31,0,23,4.4,1025.8,83.6,3.04
2019-01-05 16:00:00,10,0,8,4.2,1026.1,84.2,0.65
2019-01-05 17:00:00,3,0,2,3.9,1026.3,84.0,0.0
2019-01-05 18:00:00,0,0,0,4.0,1026.5,84.7,0.0
2019-01-05 19:00:00,0,0,0,3.8,1027.3,84.9,0.0
2019-01-05 20:00:00,0,0,0,3.9,1027.2,85.2,0.0
2019-01-05 21:00:00,0,0,0,3.8,1027.7,85.1,0.0
2019-01-05 22:00:00,0,0,0,3.7,1028.0,85.5,0.0
2019-01-05 23:00:00,0,0,0,3.3,1028.6,85.7,0.0
2019-01-06 00:00:00,0,0,0,3.0,1028.1,85.2,0.0
2019-01-06 01:00:00,0,0,0,3.0,1028.4,85.5,0.0
2019-01-06 02:00:00,0,0,0,3.2,1028.8,85.4,0.0
2019-01-06 03:00:00,0,0,0,3.1,1029.1,84.8,0.0
2019-01-06 04:00:00,0,0,0,3.2,1029.4,84.9,0.0
2019-01-06 05:00:00,0,0,0,3.0,1028.2,85.2,0.0
2019-01-06 06:00:00,0,0,0,2.7,1027.8,86.1,0.0
2019-01-06 07:00:00,0,0,0,2.1,1026.8,86.5,0.0
2019-01-06 08:00:00,70,0,48,2.1,1026.7,86.8,6.34
2019-01-06 09:00:00,205,0,137,3.8,1027.5,84.1,21.76
2019-01-06 10:00:00,442,0,297,4.6,1027.4,80.1,45.29
2019-01-06 11:00:00,344,0,233,5.6,1026.8,77.8,37.2
2019-01-06 12:00:00,246,0,171,6.2,1026.1,76.8,27.98
2019-01-06 13:00:00,229,0,167,6.5,1025.4,77.8,22.6
2019-01-06 14:00:00,142,0,106,6.6,1025.0,77.7,11.61
2019-01-06 15:00:00,117,0,86,6.4,1024.3,80.3,11.58
2019-01-06 16:00:00,217,0,150,6.9,1023.7,76.6,17.12
2019-01-06 17:00:00,21,0,16,6.7,1023.6,74.1,2.03
2019-01-06 18:00:00,0,0,0,6.1,1023.5,76.6,0.0
2019-01-06 19:00:00,0,0,0,5.6,1024.2,80.9,0.0
2019-01-06 20:00:00,0,0,0,5.6,1024.8,84.1,0.0
2019-01-06 21:00:00,0,0,0,5.3,1025.0,84.8,0.0
2019-01-06 22:00:00,0,0,0,5.2,1025.0,86.3,0.0
2019-01-06 23:00:00,0,0,0,5.2,1025.1,86.2,0.0
2019-01-07 00:00:00,0,0,0,5.0,1024.8,84.4,0.0
2019-01-07 01:00:00,0,0,0,4.8,1025.0,84.1,0.0
