date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Power (MW)
2019-01-01 00:00:00,0,0,0,-11.7,930.5,0.0
2019-01-01 01:00:00,0,0,0,-11.5,930.4,0.0
2019-01-01 02:00:00,0,1,0,-10.9,929.8,0.0
2019-01-01 03:00:00,0,1,0,-10.5,929.5,0.0
2019-01-01 04:00:00,0,1,0,-11.6,929.9,0.0
2019-01-01 05:00:00,0,1,0,-11.7,929.5,0.0
2019-01-01 06:00:00,0,0,0,-11.5,929.1,0.0
2019-01-01 07:00:00,0,0,0,-12.7,928.7,0.0
2019-01-01 08:00:00,0,0,0,-12.7,928.9,0.0
2019-01-01 09:00:00,2,0,1,-12.7,929.3,0.0
2019-01-01 10:00:00,237,36,64,-12.9,929.6,4.8044
2019-01-01 11:00:00,415,29,153,-11.6,928.7,19.275133
2019-01-01 12:00:00,735,36,318,-8.4,927.5,30.6696
2019-01-01 13:00:00,776,22,364,-7.3,926.3,34.797398
2019-01-01 14:00:00,746,17,363,-6.8,925.4,33.533733
2019-01-01 15:00:00,680,15,304,-5.2,924.3,30.032665
2019-01-01 16:00:00,547,12,193,-5.4,924.0,24.124199
2019-01-01 17:00:00,152,6,77,-5.9,923.9,5.636933
2019-01-01 18:00:00,10,1,8,-7.3,925.1,0.029667
2019-01-01 19:00:00,0,1,0,-7.9,925.3,0.0
2019-01-01 20:00:00,0,0,0,-8.3,925.4,0.0
2019-01-01 21:00:00,0,0,0,-8.3,925.2,0.0
2019-01-01 22:00:00,0,0,0,-8.1,924.7,0.0
2019-01-01 23:00:00,0,0,0,-8.2,924.3,0.0
2019-01-02 00:00:00,0,1,0,-9.9,924.1,0.0
2019-01-02 01:00:00,0,0,0,-11.5,924.3,0.0
2019-01-02 02:00:00,0,0,0,-11.9,924.3,0.0
2019-01-02 03:00:00,0,1,0,-12.9,924.1,0.0
2019-01-02 04:00:00,0,1,0,-13.6,924.3,0.0
2019-01-02 05:00:00,0,1,0,-14.0,924.0,0.0
2019-01-02 06:00:00,0,1,0,-14.6,924.2,0.0
2019-01-02 07:00:00,0,1,0,-14.4,923.9,0.0
2019-01-02 08:00:00,0,0,0,-13.9,923.9,0.0
2019-01-02 09:00:00,1,2,0,-16.0,924.7,0.0
2019-01-02 10:00:00,219,36,55,-14.8,925.2,4.534533
2019-01-02 11:00:00,553,49,167,-11.8,924.1,22.658798
